second,controller_type,active_phase,total_queue_cars,avg_wait_time_sec,vehicle_throughput_count,co2_emissions_kg,emergency_preemption_active
87,Static_120s_Fixed,North-South,18,51.74,0,0.0144,0
88,Static_120s_Fixed,North-South,14,43.2,3,0.0112,0
89,Static_120s_Fixed,North-South,15,42.43,2,0.012,0
90,Static_120s_Fixed,North-South,12,31.72,1,0.0096,0
91,Static_120s_Fixed,North-South,13,39.84,3,0.0104,0
92,Static_120s_Fixed,North-South,12,35.17,1,0.0096,0
93,Static_120s_Fixed,North-South,13,39.95,4,0.0104,0
94,Static_120s_Fixed,North-South,18,52.99,2,0.0144,0
95,Static_120s_Fixed,North-South,18,49.02,3,0.0144,0
96,Static_120s_Fixed,North-South,14,42.48,0,0.0112,0
97,Static_120s_Fixed,North-South,16,43.13,4,0.0128,0
98,Static_120s_Fixed,North-South,14,37.68,0,0.0112,0
99,Static_120s_Fixed,North-South,15,40.38,4,0.012,0
100,Static_120s_Fixed,North-South,14,38.98,0,0.0112,0
101,Static_120s_Fixed,North-South,20,56.08,3,0.016,0
102,Static_120s_Fixed,North-South,18,53.95,4,0.0144,0
103,Static_120s_Fixed,North-South,14,39.67,4,0.0112,0
104,Static_120s_Fixed,North-South,18,48.95,4,0.0144,0
105,Static_120s_Fixed,North-South,20,57.44,0,0.016,0
106,Static_120s_Fixed,North-South,22,60.35,1,0.0176,0
107,Static_120s_Fixed,North-South,19,55.96,1,0.0152,0
108,Static_120s_Fixed,North-South,14,40.44,2,0.0112,0
109,Static_120s_Fixed,North-South,13,39.08,2,0.0104,0
110,Static_120s_Fixed,North-South,17,47.22,0,0.0136,0
111,Static_120s_Fixed,North-South,20,57.82,0,0.016,0
112,Static_120s_Fixed,North-South,16,43.01,4,0.0128,0
113,Static_120s_Fixed,North-South,12,36.53,2,0.0096,0
114,Static_120s_Fixed,North-South,14,38.34,0,0.0112,0
115,Static_120s_Fixed,North-South,15,43.61,3,0.012,0
116,Static_120s_Fixed,North-South,17,48.7,0,0.0136,0
117,Static_120s_Fixed,North-South,10,28.53,4,0.008,0
118,Static_120s_Fixed,North-South,17,51.2,1,0.0136,0
119,Static_120s_Fixed,North-South,13,40.18,0,0.0104,0
120,Static_120s_Fixed,East-West,22,59.93,1,0.0176,0
121,Static_120s_Fixed,East-West,22,64.94,0,0.0176,0
122,Static_120s_Fixed,East-West,20,59.88,4,0.016,0
123,Static_120s_Fixed,East-West,15,41.21,4,0.012,0
124,Static_120s_Fixed,East-West,15,41.92,2,0.012,0
125,Static_120s_Fixed,East-West,21,61.81,4,0.0168,0
126,Static_120s_Fixed,East-West,15,41.92,1,0.012,0
127,Static_120s_Fixed,East-West,14,43.19,2,0.0112,0
128,Static_120s_Fixed,East-West,15,42.67,0,0.012,0
129,Static_120s_Fixed,East-West,16,46.96,4,0.0128,0
130,Static_120s_Fixed,East-West,21,62.53,2,0.0168,0
131,Static_120s_Fixed,East-West,23,62.94,2,0.0184,0
132,Static_120s_Fixed,East-West,19,57.14,2,0.0152,0
133,Static_120s_Fixed,East-West,20,56.4,2,0.016,0
134,Static_120s_Fixed,East-West,19,54.43,2,0.0152,0
135,Static_120s_Fixed,East-West,15,45.65,2,0.012,0
136,Static_120s_Fixed,East-West,19,55.21,1,0.0152,0
137,Static_120s_Fixed,East-West,17,46.96,0,0.0136,0
138,Static_120s_Fixed,East-West,17,48,0,0.0136,0
139,Static_120s_Fixed,East-West,17,49.91,3,0.0136,0
140,Static_120s_Fixed,East-West,13,38.48,0,0.0104,0
141,Static_120s_Fixed,East-West,21,61.74,2,0.0168,0
142,Static_120s_Fixed,East-West,17,47.69,0,0.0136,0
143,Static_120s_Fixed,East-West,15,44.16,3,0.012,0
144,Static_120s_Fixed,East-West,16,44.21,0,0.0128,0
145,Static_120s_Fixed,East-West,19,51.41,3,0.0152,0
146,Static_120s_Fixed,East-West,19,51.81,2,0.0152,0
147,Static_120s_Fixed,East-West,24,70.42,1,0.0192,0
148,Static_120s_Fixed,East-West,19,55.87,2,0.0152,0
149,Static_120s_Fixed,East-West,12,36.86,1,0.0096,0
150,Static_120s_Fixed,East-West,18,48.97,0,0.0144,0
151,Static_120s_Fixed,East-West,17,50.33,4,0.0136,0
152,Static_120s_Fixed,East-West,17,48.9,2,0.0136,0
153,Static_120s_Fixed,East-West,20,56.58,0,0.016,0
154,Static_120s_Fixed,East-West,18,50.29,1,0.0144,0
155,Static_120s_Fixed,East-West,15,44.48,4,0.012,0
156,Static_120s_Fixed,East-West,20,59.8,2,0.016,0
157,Static_120s_Fixed,East-West,18,49,0,0.0144,0
158,Static_120s_Fixed,East-West,18,51.77,2,0.0144,0
159,Static_120s_Fixed,East-West,20,57.61,4,0.016,0
160,Static_120s_Fixed,East-West,15,43.92,1,0.012,0
161,Static_120s_Fixed,East-West,21,61.19,2,0.0168,0
162,Static_120s_Fixed,East-West,16,43.25,0,0.0128,0
163,Static_120s_Fixed,East-West,20,55.43,2,0.016,0
164,Static_120s_Fixed,East-West,18,48.59,4,0.0144,0
165,Static_120s_Fixed,East-West,22,62.45,0,0.0176,0
166,Static_120s_Fixed,East-West,12,31.75,3,0.0096,0
167,Static_120s_Fixed,East-West,19,54.65,2,0.0152,0
168,Static_120s_Fixed,East-West,20,57.33,3,0.016,0
169,Static_120s_Fixed,East-West,21,58,0,0.0168,0
170,Static_120s_Fixed,East-West,18,53.23,2,0.0144,0
171,Static_120s_Fixed,East-West,23,66.27,1,0.0184,0
172,Static_120s_Fixed,East-West,21,62.54,0,0.0168,0
173,Static_120s_Fixed,East-West,17,46.72,1,0.0136,0
174,Static_120s_Fixed,East-West,15,42.91,1,0.012,0
175,Static_120s_Fixed,East-West,20,57.16,3,0.016,0
176,Static_120s_Fixed,East-West,14,40.81,1,0.0112,0
177,Static_120s_Fixed,East-West,21,56.87,4,0.0168,0
178,Static_120s_Fixed,East-West,18,49.53,0,0.0144,0
179,Static_120s_Fixed,East-West,12,35.36,1,0.0096,0
180,Static_120s_Fixed,East-West,13,37.67,1,0.0104,0
181,Static_120s_Fixed,East-West,17,45.79,1,0.0136,0
182,Static_120s_Fixed,East-West,15,42.24,4,0.012,0
183,Static_120s_Fixed,East-West,15,43.1,4,0.012,0
184,Static_120s_Fixed,East-West,18,48.95,0,0.0144,0
185,Static_120s_Fixed,East-West,18,51.88,3,0.0144,0
186,Static_120s_Fixed,East-West,20,55.42,4,0.016,0
187,Static_120s_Fixed,East-West,18,48.4,2,0.0144,0
188,Static_120s_Fixed,East-West,28,79.6,0,0.0224,0
189,Static_120s_Fixed,East-West,20,59.5,4,0.016,0
190,Static_120s_Fixed,East-West,18,48.4,2,0.0144,0
191,Static_120s_Fixed,East-West,18,54.38,2,0.0144,0
192,Static_120s_Fixed,East-West,20,54.04,2,0.016,0
193,Static_120s_Fixed,East-West,10,31.7,2,0.008,0
194,Static_120s_Fixed,East-West,25,72.32,1,0.02,0
195,Static_120s_Fixed,East-West,20,55.9,3,0.016,0
196,Static_120s_Fixed,East-West,19,52.04,1,0.0152,0
197,Static_120s_Fixed,East-West,19,55.31,4,0.0152,0
198,Static_120s_Fixed,East-West,24,70.26,3,0.0192,0
199,Static_120s_Fixed,East-West,20,57.5,3,0.016,0
200,Static_120s_Fixed,East-West,21,58.32,1,0.0168,0
201,Static_120s_Fixed,East-West,21,58.22,0,0.0168,0
202,Static_120s_Fixed,East-West,18,53.42,0,0.0144,0
203,Static_120s_Fixed,East-West,25,73.46,4,0.02,0
204,Static_120s_Fixed,East-West,17,45.81,4,0.0136,0
205,Static_120s_Fixed,East-West,21,62.43,3,0.0168,0
206,Static_120s_Fixed,East-West,19,56.2,2,0.0152,0
207,Static_120s_Fixed,East-West,23,63.1,3,0.0184,0
208,Static_120s_Fixed,East-West,17,46.23,3,0.0136,0
209,Static_120s_Fixed,East-West,16,45.71,1,0.0128,0
210,Static_120s_Fixed,East-West,21,57.07,1,0.0168,0
211,Static_120s_Fixed,East-West,18,53,2,0.0144,0
212,Static_120s_Fixed,East-West,17,46.64,3,0.0136,0
213,Static_120s_Fixed,East-West,24,66.01,1,0.0192,0
214,Static_120s_Fixed,East-West,25,68.09,4,0.02,0
215,Static_120s_Fixed,East-West,17,46.8,0,0.0136,0
216,Static_120s_Fixed,East-West,20,58.18,1,0.016,0
217,Static_120s_Fixed,East-West,19,53.56,1,0.0152,0
218,Static_120s_Fixed,East-West,15,42.97,4,0.012,0
219,Static_120s_Fixed,East-West,15,44.14,0,0.012,0
220,Static_120s_Fixed,East-West,19,52.36,1,0.0152,0
221,Static_120s_Fixed,East-West,15,44.25,1,0.012,0
222,Static_120s_Fixed,East-West,23,67.13,3,0.0184,0
223,Static_120s_Fixed,East-West,18,50.52,0,0.0144,0
224,Static_120s_Fixed,East-West,21,57.57,1,0.0168,0
225,Static_120s_Fixed,East-West,21,58.97,1,0.0168,0
226,Static_120s_Fixed,East-West,15,45.11,0,0.012,0
227,Static_120s_Fixed,East-West,18,52.52,0,0.0144,0
228,Static_120s_Fixed,East-West,23,67.49,2,0.0184,0
229,Static_120s_Fixed,East-West,19,53.23,2,0.0152,0
230,Static_120s_Fixed,East-West,17,46.02,0,0.0136,0
231,Static_120s_Fixed,East-West,21,61.59,2,0.0168,0
232,Static_120s_Fixed,East-West,18,50.44,0,0.0144,0
233,Static_120s_Fixed,East-West,19,54.55,4,0.0152,0
234,Static_120s_Fixed,East-West,15,45.96,3,0.012,0
235,Static_120s_Fixed,East-West,18,52.66,4,0.0144,0
236,Static_120s_Fixed,East-West,20,55.04,0,0.016,0
237,Static_120s_Fixed,East-West,16,45.99,2,0.0128,0
238,Static_120s_Fixed,East-West,16,44.41,4,0.0128,0
239,Static_120s_Fixed,East-West,25,72.05,2,0.02,0
240,Static_120s_Fixed,North-South,23,67.27,2,0.0184,0
241,Static_120s_Fixed,North-South,21,57.42,2,0.0168,0
242,Static_120s_Fixed,North-South,18,53.17,4,0.0144,0
243,Static_120s_Fixed,North-South,16,43.22,4,0.0128,0
244,Static_120s_Fixed,North-South,25,68.21,2,0.02,0
245,Static_120s_Fixed,North-South,17,51.5,4,0.0136,0
246,Static_120s_Fixed,North-South,14,37.54,1,0.0112,0
247,Static_120s_Fixed,North-South,25,72.68,3,0.02,0
248,Static_120s_Fixed,North-South,17,49.25,0,0.0136,0
249,Static_120s_Fixed,North-South,19,55.35,2,0.0152,0
250,Static_120s_Fixed,North-South,22,62.97,2,0.0176,0
251,Static_120s_Fixed,North-South,22,59.89,1,0.0176,0
252,Static_120s_Fixed,North-South,17,50.65,2,0.0136,0
253,Static_120s_Fixed,North-South,23,64.33,2,0.0184,0
254,Static_120s_Fixed,North-South,19,53.5,2,0.0152,0
255,Static_120s_Fixed,North-South,18,53.69,3,0.0144,0
256,Static_120s_Fixed,North-South,18,54.17,0,0.0144,0
257,Static_120s_Fixed,North-South,15,41.39,1,0.012,0
258,Static_120s_Fixed,North-South,18,52.69,0,0.0144,0
259,Static_120s_Fixed,North-South,24,68.52,4,0.0192,0
260,Static_120s_Fixed,North-South,18,50.49,2,0.0144,0
261,Static_120s_Fixed,North-South,19,52.26,3,0.0152,0
262,Static_120s_Fixed,North-South,16,45.14,4,0.0128,0
263,Static_120s_Fixed,North-South,16,46.12,0,0.0128,0
264,Static_120s_Fixed,North-South,18,50.46,0,0.0144,0
265,Static_120s_Fixed,North-South,18,49.57,0,0.0144,0
266,Static_120s_Fixed,North-South,17,50.98,2,0.0136,0
267,Static_120s_Fixed,North-South,20,59.87,4,0.016,0
268,Static_120s_Fixed,North-South,20,57.6,0,0.016,0
269,Static_120s_Fixed,North-South,18,52.69,4,0.0144,0
270,Static_120s_Fixed,North-South,22,64.8,1,0.0176,0
271,Static_120s_Fixed,North-South,21,58.13,0,0.0168,0
272,Static_120s_Fixed,North-South,22,65.47,0,0.0176,0
273,Static_120s_Fixed,North-South,19,56.14,1,0.0152,0
274,Static_120s_Fixed,North-South,20,58.18,2,0.016,0
275,Static_120s_Fixed,North-South,22,64.03,4,0.0176,0
276,Static_120s_Fixed,North-South,23,67.05,3,0.0184,0
277,Static_120s_Fixed,North-South,20,57.08,3,0.016,0
278,Static_120s_Fixed,North-South,25,69.89,3,0.02,0
279,Static_120s_Fixed,North-South,16,45.2,3,0.0128,0
280,Static_120s_Fixed,North-South,19,52.85,4,0.0152,0
281,Static_120s_Fixed,North-South,20,58.14,2,0.016,0
282,Static_120s_Fixed,North-South,20,58.4,1,0.016,0
283,Static_120s_Fixed,North-South,13,34.8,2,0.0104,0
284,Static_120s_Fixed,North-South,20,58.4,0,0.016,0
285,Static_120s_Fixed,North-South,21,57.58,2,0.0168,0
286,Static_120s_Fixed,North-South,19,54.45,0,0.0152,0
287,Static_120s_Fixed,North-South,17,48.4,0,0.0136,0
288,Static_120s_Fixed,North-South,18,52.79,4,0.0144,0
289,Static_120s_Fixed,North-South,17,45.64,0,0.0136,0
290,Static_120s_Fixed,North-South,21,60.69,4,0.0168,0
291,Static_120s_Fixed,North-South,20,58.93,4,0.016,0
292,Static_120s_Fixed,North-South,20,56.92,1,0.016,0
293,Static_120s_Fixed,North-South,20,57.43,0,0.016,0
294,Static_120s_Fixed,North-South,20,54.71,1,0.016,0
295,Static_120s_Fixed,North-South,13,36.34,2,0.0104,0
296,Static_120s_Fixed,North-South,20,59.25,1,0.016,0
297,Static_120s_Fixed,North-South,22,63.31,2,0.0176,0
298,Static_120s_Fixed,North-South,23,66.42,2,0.0184,0
299,Static_120s_Fixed,North-South,18,50.79,0,0.0144,0
300,Static_120s_Fixed,North-South,19,51.25,4,0.0152,0
301,Static_120s_Fixed,North-South,14,41.41,1,0.0112,0
302,Static_120s_Fixed,North-South,22,64.14,3,0.0176,0
303,Static_120s_Fixed,North-South,24,70.21,0,0.0192,0
304,Static_120s_Fixed,North-South,23,65.02,4,0.0184,0
305,Static_120s_Fixed,North-South,26,74.81,4,0.0208,0
306,Static_120s_Fixed,North-South,15,45.46,1,0.012,0
307,Static_120s_Fixed,North-South,17,46.1,3,0.0136,0
308,Static_120s_Fixed,North-South,21,60.63,1,0.0168,0
309,Static_120s_Fixed,North-South,21,58.88,1,0.0168,0
310,Static_120s_Fixed,North-South,18,51.95,1,0.0144,0
311,Static_120s_Fixed,North-South,16,47.45,0,0.0128,0
312,Static_120s_Fixed,North-South,25,69.4,3,0.02,0
313,Static_120s_Fixed,North-South,18,49.53,3,0.0144,0
314,Static_120s_Fixed,North-South,20,57.22,0,0.016,0
315,Static_120s_Fixed,North-South,23,66.07,0,0.0184,0
316,Static_120s_Fixed,North-South,20,56.84,0,0.016,0
317,Static_120s_Fixed,North-South,14,38.85,4,0.0112,0
318,Static_120s_Fixed,North-South,13,35.76,2,0.0104,0
319,Static_120s_Fixed,North-South,21,58.74,0,0.0168,0
320,Static_120s_Fixed,North-South,18,48.71,4,0.0144,0
321,Static_120s_Fixed,North-South,18,50.62,2,0.0144,0
322,Static_120s_Fixed,North-South,15,41.4,2,0.012,0
323,Static_120s_Fixed,North-South,20,58.57,1,0.016,0
324,Static_120s_Fixed,North-South,18,50.22,4,0.0144,0
325,Static_120s_Fixed,North-South,18,50.97,2,0.0144,0
326,Static_120s_Fixed,North-South,25,73.79,4,0.02,0
327,Static_120s_Fixed,North-South,16,46.35,2,0.0128,0
328,Static_120s_Fixed,North-South,19,54.07,0,0.0152,0
329,Static_120s_Fixed,North-South,17,50.57,3,0.0136,0
330,Static_120s_Fixed,North-South,20,57.86,2,0.016,0
331,Static_120s_Fixed,North-South,18,48.56,4,0.0144,0
332,Static_120s_Fixed,North-South,17,46.75,4,0.0136,0
333,Static_120s_Fixed,North-South,18,52.06,2,0.0144,0
334,Static_120s_Fixed,North-South,23,63.97,4,0.0184,0
335,Static_120s_Fixed,North-South,18,51.03,2,0.0144,0
336,Static_120s_Fixed,North-South,18,51.51,1,0.0144,0
337,Static_120s_Fixed,North-South,19,54.42,1,0.0152,0
338,Static_120s_Fixed,North-South,18,49.19,2,0.0144,0
339,Static_120s_Fixed,North-South,20,55.72,4,0.016,0
340,Static_120s_Fixed,North-South,19,55.7,3,0.0152,0
341,Static_120s_Fixed,North-South,21,59.82,0,0.0168,0
342,Static_120s_Fixed,North-South,19,51.95,3,0.0152,0
343,Static_120s_Fixed,North-South,14,40.73,2,0.0112,0
344,Static_120s_Fixed,North-South,15,42.6,4,0.012,0
345,Static_120s_Fixed,North-South,17,46.26,1,0.0136,0
346,Static_120s_Fixed,North-South,20,58.82,0,0.016,0
347,Static_120s_Fixed,North-South,21,58.33,4,0.0168,0
348,Static_120s_Fixed,North-South,20,57.81,3,0.016,0
349,Static_120s_Fixed,North-South,19,55.94,3,0.0152,0
350,Static_120s_Fixed,North-South,19,52.25,3,0.0152,0
351,Static_120s_Fixed,North-South,19,56.44,2,0.0152,0
352,Static_120s_Fixed,North-South,18,49.05,1,0.0144,0
353,Static_120s_Fixed,North-South,19,51.29,2,0.0152,0
354,Static_120s_Fixed,North-South,22,61.98,3,0.0176,0
355,Static_120s_Fixed,North-South,24,66.58,1,0.0192,0
356,Static_120s_Fixed,North-South,17,50.7,4,0.0136,0
357,Static_120s_Fixed,North-South,20,57.48,3,0.016,0
358,Static_120s_Fixed,North-South,18,53.96,2,0.0144,0
359,Static_120s_Fixed,North-South,18,51.47,1,0.0144,0
360,Static_120s_Fixed,East-West,18,51.01,0,0.0144,0
361,Static_120s_Fixed,East-West,23,64.06,3,0.0184,0
362,Static_120s_Fixed,East-West,19,52.42,3,0.0152,0
363,Static_120s_Fixed,East-West,22,63.64,4,0.0176,0
364,Static_120s_Fixed,East-West,19,52.57,0,0.0152,0
365,Static_120s_Fixed,East-West,15,40.08,2,0.012,0
366,Static_120s_Fixed,East-West,22,62.57,4,0.0176,0
367,Static_120s_Fixed,East-West,22,65.25,0,0.0176,0
368,Static_120s_Fixed,East-West,18,54.18,3,0.0144,0
369,Static_120s_Fixed,East-West,20,54.76,0,0.016,0
370,Static_120s_Fixed,East-West,20,57.73,1,0.016,0
371,Static_120s_Fixed,East-West,17,50.78,4,0.0136,0
372,Static_120s_Fixed,East-West,14,38.51,3,0.0112,0
373,Static_120s_Fixed,East-West,15,41.86,4,0.012,0
374,Static_120s_Fixed,East-West,22,63.83,0,0.0176,0
375,Static_120s_Fixed,East-West,19,53.09,2,0.0152,0
376,Static_120s_Fixed,East-West,21,60.05,0,0.0168,0
377,Static_120s_Fixed,East-West,14,38.4,1,0.0112,0
378,Static_120s_Fixed,East-West,16,48.15,3,0.0128,0
379,Static_120s_Fixed,East-West,17,46.4,0,0.0136,0
380,Static_120s_Fixed,East-West,22,60.46,3,0.0176,0
381,Static_120s_Fixed,East-West,18,51.65,3,0.0144,0
382,Static_120s_Fixed,East-West,15,41.01,2,0.012,0
383,Static_120s_Fixed,East-West,20,59.84,1,0.016,0
384,Static_120s_Fixed,East-West,18,48.98,0,0.0144,0
385,Static_120s_Fixed,East-West,21,57.15,4,0.0168,0
386,Static_120s_Fixed,East-West,21,61.25,2,0.0168,0
387,Static_120s_Fixed,East-West,20,59.51,2,0.016,0
388,Static_120s_Fixed,East-West,15,44.38,4,0.012,0
389,Static_120s_Fixed,East-West,15,40.78,4,0.012,0
390,Static_120s_Fixed,East-West,16,44,2,0.0128,0
391,Static_120s_Fixed,East-West,22,63.41,4,0.0176,0
392,Static_120s_Fixed,East-West,21,61.44,2,0.0168,0
393,Static_120s_Fixed,East-West,14,37.28,3,0.0112,0
394,Static_120s_Fixed,East-West,24,67.76,2,0.0192,0
395,Static_120s_Fixed,East-West,20,58.64,1,0.016,0
396,Static_120s_Fixed,East-West,15,40.72,2,0.012,0
397,Static_120s_Fixed,East-West,19,54.48,0,0.0152,0
398,Static_120s_Fixed,East-West,17,48.98,2,0.0136,0
399,Static_120s_Fixed,East-West,19,55.53,0,0.0152,0
400,Static_120s_Fixed,East-West,23,67.33,3,0.0184,0
401,Static_120s_Fixed,East-West,15,42.8,0,0.012,0
402,Static_120s_Fixed,East-West,18,49.16,1,0.0144,0
403,Static_120s_Fixed,East-West,23,66.11,2,0.0184,0
404,Static_120s_Fixed,East-West,15,43.71,3,0.012,0
405,Static_120s_Fixed,East-West,15,45.18,0,0.012,0
406,Static_120s_Fixed,East-West,16,44.44,3,0.0128,0
407,Static_120s_Fixed,East-West,20,59.09,2,0.016,0
408,Static_120s_Fixed,East-West,16,44.32,3,0.0128,0
409,Static_120s_Fixed,East-West,20,56.8,2,0.016,0
410,Static_120s_Fixed,East-West,12,37.26,1,0.0096,0
411,Static_120s_Fixed,East-West,17,47.88,3,0.0136,0
412,Static_120s_Fixed,East-West,19,55.88,3,0.0152,0
413,Static_120s_Fixed,East-West,18,53,1,0.0144,0
414,Static_120s_Fixed,East-West,21,62.39,2,0.0168,0
415,Static_120s_Fixed,East-West,18,49.66,1,0.0144,0
416,Static_120s_Fixed,East-West,18,52.95,2,0.0144,0
417,Static_120s_Fixed,East-West,23,65.24,3,0.0184,0
418,Static_120s_Fixed,East-West,17,45.98,1,0.0136,0
419,Static_120s_Fixed,East-West,21,61.24,1,0.0168,0
420,Static_120s_Fixed,East-West,14,42.41,3,0.0112,0
421,Static_120s_Fixed,East-West,15,44.82,2,0.012,0
422,Static_120s_Fixed,East-West,19,55.71,3,0.0152,0
423,Static_120s_Fixed,East-West,20,58.14,2,0.016,0
424,Static_120s_Fixed,East-West,19,53.05,0,0.0152,0
425,Static_120s_Fixed,East-West,17,47.76,2,0.0136,0
426,Static_120s_Fixed,East-West,12,36.15,1,0.0096,0
427,Static_120s_Fixed,East-West,18,52.11,2,0.0144,0
428,Static_120s_Fixed,East-West,21,59.09,2,0.0168,0
429,Static_120s_Fixed,East-West,18,51.81,4,0.0144,0
430,Static_120s_Fixed,East-West,16,47.23,0,0.0128,0
431,Static_120s_Fixed,East-West,19,54.16,0,0.0152,0
432,Static_120s_Fixed,East-West,11,31.27,3,0.0088,0
433,Static_120s_Fixed,East-West,16,46.2,4,0.0128,0
434,Static_120s_Fixed,East-West,18,53.68,2,0.0144,0
435,Static_120s_Fixed,East-West,12,36.39,3,0.0096,0
436,Static_120s_Fixed,East-West,20,56.01,0,0.016,0
437,Static_120s_Fixed,East-West,17,49.12,0,0.0136,0
